20010219  13371620   29.4333   101.0830     11.000  2.5    0.00    0.00   0.00       1155 0
20010220   8212840   29.4333   101.0830      5.000  2.8    0.00    0.00   0.00       1171 0
20010222  19055650   29.7333   102.5670      5.000  1.8    0.00    0.00   0.00       1240 0
20010223   1555200   31.6333   102.3830     10.000  2.0    0.00    0.00   0.00       1243 0
20010223   9344300   29.4667   101.0000      0.000  3.0    0.00    0.00   0.00       1247 0
20010223   9393800   29.4333   101.1000      8.000  2.7    0.00    0.00   0.00       1248 0
20010223  10115100   29.4333   101.0330      0.000  4.2    0.00    0.00   0.00       1250 0
20010223  10193590   29.4667   101.0670      0.000  2.6    0.00    0.00   0.00       1252 0
20010223  18151140   31.6333   103.8500     10.000  1.9    0.00    0.00   0.00       1264 0
20010224     83600   31.5833   103.0170      0.000  2.0    0.00    0.00   0.00       1277 0
20010224    551830   29.4333   101.0670      5.000  2.9    0.00    0.00   0.00       1279 0
20010224   2222000   29.4167   101.0330      0.000  2.7    0.00    0.00   0.00       1281 0
20010225   2050910   29.4333   101.0500      5.000  2.6    0.00    0.00   0.00       1285 0
20010225   6280930   29.5000   101.0330     11.000  2.0    0.00    0.00   0.00       1287 0
20010225   7424010   29.4333   101.0500      5.000  3.0    0.00    0.00   0.00       1288 0
20010225  14572690   29.4667   101.0500     12.000  3.0    0.00    0.00   0.00       1298 0
20010225  16470420   29.4667   101.0330     14.000  2.7    0.00    0.00   0.00       1300 0
20010226   6044340   29.4500   101.0330     10.000  3.0    0.00    0.00   0.00       1311 0
20010226  12180160   29.4667   101.0000      0.000  2.8    0.00    0.00   0.00       1321 0
20010227   2462180   29.4333   101.0170      7.000  2.2    0.00    0.00   0.00       1331 0
20010227  22214840   29.4167   101.0000      5.000  3.2    0.00    0.00   0.00       1352 0
20010301  13195450   29.4667   101.0500      0.000  3.5    0.00    0.00   0.00       1388 0
20010303    165960   29.4667   101.0330      2.000  2.9    0.00    0.00   0.00       1424 0
20010303  15480720   30.3167   102.5830     18.000  2.7    0.00    0.00   0.00       1439 0
20010303  17380450   30.9500   103.2670      7.000  2.1    0.00    0.00   0.00       1442 0
20010303  18493290   29.0667   102.7330      9.000  1.9    0.00    0.00   0.00       1446 0
20010303  23401250   31.3833   101.1670      0.000  2.1    0.00    0.00   0.00       1453 0
20010304   2070100   29.4667   101.0330      0.000  2.6    0.00    0.00   0.00       1457 0
20010304  14325430   31.7167   102.5830     11.000  1.8    0.00    0.00   0.00       1478 0
20010304  21104530   29.0000   101.8500      7.000  2.7    0.00    0.00   0.00       1487 0
20010305  13350250   29.4667   101.0670     13.000  2.5    0.00    0.00   0.00       1496 0
